,자재,기말 재고 수량,기말 재고 금액,자재 내역,특별 재고,저장 위치,배치,단가,유효기간,남은일,유효기한구간,3평판,_mat_key,원가율,대분류,소분류,평판 * 1.38배,출하원가,출하판가,판가,who,26_1,26_2,26_3,26_4,26_5,26_6,26_7,26_8,26_9,26_10,26_11,26_12,27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_10,27_11,27_12,28_1,28_2,28_3,28_4,28_5,28_6,28_7,28_8,28_9,28_10,28_11,28_12,부진재고량,부진재고진입시점,부진재고진입분기,회전월
33,2303297,4900,828100,클리어징크에스오에스스팟15ml_단상자,,5000,,169,,,미상,0,2303297,1.9171254770429087,세트포장재,세트포장재,13.799999999999999,2332.2,1216.5087929441777,431948.77430626604,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.072463768116
34,2303299,4500,720000,클리어B3+B5세럼29ml_단상자,,5000,,160,,,미상,0,2303299,1.9171254770429087,세트포장재,세트포장재,69,11040,5758.621505061197,375562.2720692085,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.21739130434783
35,2303300,1000,520000,클리어아하2%토너200ml_단상자,,5000,,520,2099-12-31,,미상,0,2303300,1.9171254770429087,세트포장재,세트포장재,0,0,0,271239.4187166506,자사,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,0,0,0,0
36,2303301,1000,520000,클리어바하클렌저100ml_단상자,,5000,,520,2099-12-31,,미상,0,2303301,1.9171254770429087,세트포장재,세트포장재,0,0,0,271239.4187166506,자사,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,520000,0,0,0,0
37,2303302,1000,540000,클리어라하바디미스트100ml_단상자,,5000,,540,2099-12-31,,미상,0,2303302,1.9171254770429087,세트포장재,세트포장재,0,0,0,281671.70405190636,자사,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,0,0,0,0
38,2303304,1000,580000,클리어바하바디클렌저300g_단상자,,5000,,580,2099-12-31,,미상,0,2303304,1.9171254770429087,세트포장재,세트포장재,0,0,0,302536.27472241793,자사,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,0,0,0,0
39,2303305,500,215000,클리어5애씨드필30ml_단상자,,5000,,430,,,미상,0,2303305,1.9171254770429087,세트포장재,세트포장재,69,29670,15476.295294851967,112147.06735399975,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246376811594203
40,2303307,980,561273,멜라토닝비타씨토너150ml_단상자,,5000,,572.7275510204082,,,미상,0,2303307,1.9171254770429087,세트포장재,세트포장재,16.56,9484.36824489796,4947.181787770734,292768.0043487512,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.17874396135265
41,2303308,4400,1303704,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver_단상자,,5000,,296.29636363636365,,,미상,0,2303308,1.9171254770429087,세트포장재,세트포장재,12.005999999999998,3557.3341418181817,1855.5562400147282,680030.6060357158,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.48342495418956
42,2303310,5000,750000,디더블유이지에프멜라토닝원데이앰플30ml_AD(2024)_단상자,,5000,,150,2099-12-31,,미상,0,2303310,1.9171254770429087,세트포장재,세트포장재,0,0,0,391210.7000720922,자사,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,0,0,0,0
