창고코드,자재코드,자재명,배치,SAP재고,WMS재고,차이
5000.0,9309839.0,[EA]멜라비토닝앰플쿠션21호내추럴(본품)15g_V3,ZHA,17369,17401,-32.0
5000.0,9312167.0,이지듀멜라비토닝앰플쿠션19호샌드13G(미국),AHA,0,25,-25.0
5000.0,9307221.0,[EA]디더블유EGF10ppm원데이엠티에스2700샷(2개입)_스몰랩,24F017,7234,7258,-24.0
5000.0,2302955.0,[판촉물_부자재] 멜라토닝 더블업 크림+앰플 기획세트(단상자)_25년설,,0,20,-20.0
5000.0,2303869.0,[부자재]기미앰플30ML*6세트(26신년)_하판,251230,0,20,-20.0
5000.0,9310616.0,[EA]이지듀멜라토닝원데이앰플15ml(2025_추출물용매분리버전),GGA,163,182,-19.0
5000.0,9306813.0,[EA]베리어리페어립앤멀티밤10g,N10A02,110,127,-17.0
5000.0,9309838.0,[EA]멜라비토닝앰플쿠션19호페어(본품)15g_V3_,HBA,8077,8093,-16.0
5000.0,9311062.0,[단종]이지듀멜라비토닝매트커버팩트23호베이지19g,KJA,290,306,-16.0
5000.0,9312293.0,[추석세트]이지듀쿠션앤앰플기프트세트21호내추럴,FHA,3657,3673,-16.0
5000.0,9309753.0,[판촉물]멜라토닝 더블업 크림+앰플 기획세트_25년설,0,0,15,-15.0
5000.0,9309835.0,[EA]멜라비토닝유브이선세럼투엑스40ml,MEA,1184,1197,-13.0
5000.0,9305864.0,[EA]베리어리페어토너200ml,AAA,9967,9979,-12.0
5000.0,9311088.0,[세트]이지듀멜라비토닝매트커버팩트23호+글로우립로즈세트(카카오),D250507003,0,12,-12.0
5000.0,9311192.0,이지듀멜라토닝겔패치시카알로에12g(4매입),161EH,7839,7850,-11.0
5000.0,9313970.0,[세트]기미쿠션레드에디션(26년설)_22호라이트베이지,D260129002,89,100,-11.0
5000.0,2302962.0,[판촉물_부자재]멜라 3-스텝 올인원 스페셜세트(싸바리)_플라워,,0,10,-10.0
5000.0,9306812.0,[세트]멜라토닝원데이앰플1ml+멜라토닝패치4매입_(판),D250811002,954,964,-10.0
5000.0,9309753.0,[판촉물]멜라토닝 더블업 크림+앰플 기획세트_25년설,0,0,10,-10.0
5000.0,9313100.0,이지듀알엑스포스트레이저미스트50mL,AAB,4470,4480,-10.0
5000.0,9313116.0,이지듀포스트레이저이지에프크림40ml(HS),EL007,33502,33512,-10.0
5000.0,9313119.0,이지듀이지에프골든엘릭서4ml(HS),EL003,41828,41838,-10.0
5000.0,9309910.0,[EA]멀티비타12앰플클렌저200ml,RG02,3313,3322,-9.0
5000.0,7301348.0,[판촉물_상품]이지듀가정의달세트_손잡이박스,34748,0,7,-7.0
5000.0,7301959.0,[판촉물_부자재]이지듀삼각쇼핑백_보테가,0,0,6,-6.0
5000.0,7302385.0,[25년]이지듀쇼핑백_소(200*80*200),20251016,419,425,-6.0
5000.0,9307045.0,[단종][EA]디더블유이지에프멜라토닝패치(5g*4ea)_AD(2024),DMZ,619,625,-6.0
5000.0,2303323.0,[부자재]이지듀멜라데이쉴드에센셜세트_슬리브,,0,5,-5.0
5000.0,2303865.0,[부자재]이지듀항산화*4세트(26신년)_하판,251230,0,5,-5.0
5000.0,9305646.0,[EA]멜라토닝선크림45ml,AEA,11,16,-5.0
5000.0,9312348.0,이지듀디더블유이지에프멜라토닝원데이앰플부스터샷15ML(HS),CJA,507,512,-5.0
5000.0,9313117.0,이지듀포스트레이저이지에프크림75ml,EK004,3496,3500,-4.0
5000.0,9313816.0,[세트]이지듀멜라스킨케어기프트6종기획세트(26년설),EGA,4118,4121,-3.0
5000.0,9313818.0,[세트]이지듀리프트코어이펙트6종스킨케어세트(26년설),DBA,1497,1500,-3.0
5000.0,9305942.0,[EA]옴므올인원플루이드80ml,DHA,1545,1547,-2.0
5000.0,9309795.0,[EA]멜라오버나이트멜팅크림 50g,JGA,12574,12576,-2.0
5000.0,9309900.0,[EA]멜라비토닝앰플쿠션23호베이지(본품)15g_V3,KDA,9432,9434,-2.0
5000.0,9313028.0,이지듀멜라비토닝글로우커버팩트19호페어(리필)19g,CMA,2146,2148,-2.0
5000.0,2302027.0,[부자재]크림+앰플_서랍형손잡이케이스(2023추석),,3871,3872,-1.0
5000.0,2302028.0,[부자재]휩폼+크림_리본끈사각케이스(2023추석),,3618,3619,-1.0
5000.0,2302427.0,[판촉물_부자재]이지듀 한가인 슬리브 (1ml+oy니들기획])_슬리브(판,,17549,17550,-1.0
5000.0,2302651.0,[판촉물_부자재]이지듀명절용신규패드,,0,1,-1.0
5000.0,7300927.0,[판촉물_부자재][EA]서랍형2종손잡이케이스(94*47*190)(판),,33,34,-1.0
5000.0,7300928.0,[판촉물_부자재][EA]서랍형3종손잡이케이스(135*47*190)(판),,0,1,-1.0
5000.0,9305648.0,[EA]베리어리페어클렌저150ml,BGA,1,2,-1.0
5000.0,9305814.0,[단종][EX]디더블유이지에프멜라토닝패치(5g*4ea)(썸머에디션),NLY,57,58,-1.0
5000.0,9306771.0,디더블유이지에프10트리플안티옥시던트앰플(1ml*4ea),BCZ,2618,2619,-1.0
5000.0,9307319.0,[EA]디더블유이지에프멜라토닝원데이앰플1ml_AD(2024),PJA,1711,1712,-1.0
5000.0,9307342.0,[EA]디더블유EGF10ppm원데이MTS2700샷(1개입)_미품,24F017,5397,5398,-1.0
5000.0,9308690.0,[EX]디더블유이지에프멜라토닝원데이앰플10ml,UMZ,139,140,-1.0
5000.0,9308765.0,[EA]멜라비토닝패치풀페이스(24g*6ea),DLZ,591,592,-1.0
5000.0,9309507.0,[EA]멜라비토닝앰플쿠션19호페어(리필)_V2,AAA,560,561,-1.0
5000.0,9310449.0,[EA]멜라UV틴티드글로우립밤3.4g,BDA,0,1,-1.0
5000.0,9310454.0,멜라비토닝앰플글로우겔마스크30g(4매입),108EH,2023,2024,-1.0
5000.0,9310560.0,이지듀멜라비토닝앰플쿠션23호베이지13G,WHA,801,802,-1.0
5000.0,9310563.0,이지듀멜라비토닝앰플쿠션23호베이지13G(리필),WHA,2360,2361,-1.0
5000.0,9311061.0,[단종]이지듀멜라비토닝매트커버팩트21호내추럴19g,MHA,0,1,-1.0
5000.0,9313042.0,이지듀멜라글로우쿠션블러셔7g레드,K24Y001,6,7,-1.0
5000.0,9313100.0,이지듀알엑스포스트레이저미스트50mL,AKA,1615,1616,-1.0
5000.0,1000940.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,B08897,2200,2200,0.0
5000.0,1000940.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,B08898,3600,3600,0.0
5000.0,1000940.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,B09446,96600,96600,0.0
5000.0,1000940.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,B09350,94600,94600,0.0
5000.0,1000940.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,B09445,95600,95600,0.0
5000.0,1000940.0,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,B09348,28000,28000,0.0
5000.0,2301915.0,[부자재]이지듀쇼핑백(245*95*230)2023프로모션,,13,13,0.0
5000.0,2302226.0,[판촉물_부자재](면세)이지에프멜라토닝패치(5g*4ea)*3ea_슬리브,,2388,2388,0.0
5000.0,2302367.0,[EA]디더블유이지에프더마톡스니들롤러대_2024(AD)_단상자,,17363,17363,0.0
5000.0,2302396.0,[판촉물_부자재]이지듀 한가인 슬리브 (비타C토너용),,13500,13500,0.0
5000.0,2302428.0,[부자재]이지듀2024가정의달VIP싸바리_쇼핑백,,6,6,0.0
5000.0,2302436.0,[부자재][EA]디더블유이지에프더마톡스니들롤러대_단상자,0,5226,5226,0.0
5000.0,2302564.0,[EA]멜라라필프로페셔널툴즈키트_단상자,,2000,2000,0.0
5000.0,2302650.0,[판촉물_부자재]이지듀명절용멜라3-스텝스페셜세트(싸바리),,303,303,0.0
